28093,state:6,Time:13:42:48,Lat:35.55490833,Lng:139.65565667,ax:-0.8988888888888888,ay:0.40444444444444444,az:0.8666666666666667,q:111.3125,rV:    70,lV:    50,Camera:0
28107,state:6,Time:13:42:48,Lat:35.55490833,Lng:139.65565667,ax:-0.3011111111111111,ay:0.47444444444444445,az:0.9255555555555556,q:110.25,rV:    70,lV:    50,Camera:0
28209,state:6,Time:13:42:48,Lat:35.55490833,Lng:139.65565667,ax: -0.31,ay:-0.2222222222222222,az:0.7966666666666666,q:105.75,rV:    70,lV:    50,Camera:0
28215,state:6,Time:13:42:48,Lat:35.55490833,Lng:139.65565667,ax: -0.31,ay:-0.2222222222222222,az:0.7966666666666666,q:105.25,rV:    60,lV:    60,Camera:0
28553,state:6,Time:13:42:49,Lat:35.55490833,Lng:139.65565667,ax:0.6777777777777778,ay:-0.40555555555555556,az:-0.23777777777777778,q:103.4375,rV:    60,lV:    60,Camera:0
28604,state:6,Time:13:42:49,Lat:35.55490833,Lng:139.65565667,ax:-1.1366666666666667,ay:0.1411111111111111,az:0.0011111111111111111,q:103.375,rV:    60,lV:    60,Camera:0
28698,state:6,Time:13:42:49,Lat:35.55490833,Lng:139.65565667,ax:-0.5222222222222223,ay:0.30666666666666664,az:0.16333333333333333,q:101.75,rV:    60,lV:    60,Camera:0
28743,state:6,Time:13:42:49,Lat:35.55490833,Lng:139.65565667,ax: -0.38,ay:-0.09666666666666666,az:-0.04555555555555556,q:102.0625,rV:    60,lV:    60,Camera:0
28860,state:6,Time:13:42:49,Lat:35.55490833,Lng:139.65565667,ax:0.7433333333333333,ay:0.26555555555555554,az:0.21888888888888888,q:100.8125,rV:    60,lV:    60,Camera:0
28940,state:6,Time:13:42:49,Lat:35.55490833,Lng:139.65565667,ax:0.22555555555555556,ay: -0.43,az:0.23444444444444446,q:99.3125,rV:    60,lV:    60,Camera:0
29022,state:6,Time:13:42:49,Lat:35.55490833,Lng:139.65565667,ax:0.4388888888888889,ay:-0.5277777777777778,az:-0.10444444444444445,q:99.125,rV:    60,lV:    60,Camera:0
