6183,state:4,Time:13:17:49,Lat:35.55488000,Lng:139.65572167,ax:-0.0033333333333333335,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:captured!
28094,state:6,Time:13:18:11,Lat:35.55491000,Lng:139.65568333,ax:0.06222222222222222,ay:3.6344444444444446,az:0.9022222222222223,q:248.9375,rV:    70,lV:    50,Camera:0
28178,state:6,Time:13:18:11,Lat:35.55491000,Lng:139.65568333,ax:-0.03222222222222222,ay:-1.1788888888888889,az:0.18222222222222223,q:245.875,rV:    70,lV:    50,Camera:0
28272,state:6,Time:13:18:11,Lat:35.55491000,Lng:139.65568333,ax:0.2011111111111111,ay:-0.42444444444444446,az:0.8155555555555556,q:241.875,rV:    70,lV:    50,Camera:0
28280,state:6,Time:13:18:11,Lat:35.55491000,Lng:139.65568333,ax:0.2011111111111111,ay:-0.42444444444444446,az:0.8155555555555556,q: 241.5,rV:    60,lV:    60,Camera:0
28584,state:6,Time:13:18:12,Lat:35.55491667,Lng:139.65568000,ax:-0.2577777777777778,ay:0.7066666666666667,az:0.12222222222222222,q: 237.0,rV:    60,lV:    60,Camera:0
28694,state:6,Time:13:18:12,Lat:35.55491667,Lng:139.65568000,ax:0.3233333333333333,ay:0.4922222222222222,az:-0.24444444444444444,q:236.875,rV:    60,lV:    60,Camera:0
28743,state:6,Time:13:18:12,Lat:35.55491667,Lng:139.65568000,ax:0.17555555555555555,ay:0.6933333333333334,az:0.07111111111111111,q:236.6875,rV:    60,lV:    60,Camera:0
28830,state:6,Time:13:18:12,Lat:35.55491667,Lng:139.65568000,ax:-0.38666666666666666,ay:0.22333333333333333,az:0.34444444444444444,q:236.6875,rV:    60,lV:    60,Camera:0
28876,state:6,Time:13:18:12,Lat:35.55491667,Lng:139.65568000,ax:0.06777777777777778,ay:0.20333333333333334,az:0.12111111111111111,q:236.0625,rV:    60,lV:    60,Camera:0
28991,state:6,Time:13:18:12,Lat:35.55491667,Lng:139.65568000,ax:-0.4033333333333333,ay:0.43333333333333335,az:-0.22111111111111112,q:238.0625,rV:    60,lV:    60,Camera:0
29075,state:6,Time:13:18:12,Lat:35.55491667,Lng:139.65568000,ax: -0.11,ay:-0.4477777777777778,az:-0.2911111111111111,q:239.0625,rV:    60,lV:    60,Camera:0
29115,state:6,Time:13:18:12,Lat:35.55491667,Lng:139.65568000,ax:0.5744444444444444,ay:-0.8933333333333333,az:-0.4211111111111111,q:239.9375,rV:    60,lV:    60,Camera:0
29199,state:6,Time:13:18:12,Lat:35.55491667,Lng:139.65568000,ax:0.06777777777777778,ay:-0.6355555555555555,az:-0.3522222222222222,q:241.6875,rV:    60,lV:    60,Camera:0
29307,state:6,Time:13:18:12,Lat:35.55491667,Lng:139.65568000,ax:-0.014444444444444444,ay:0.43222222222222223,az:-0.26555555555555554,q:244.3125,rV:    60,lV:    60,Camera:0
29318,state:6,Time:13:18:12,Lat:35.55491667,Lng:139.65568000,ax:-0.18666666666666668,ay:0.8533333333333334,az:-0.26555555555555554,q:244.4375,rV:    70,lV:    50,Camera:0
29618,state:6,Time:13:18:13,Lat:35.55492333,Lng:139.65567833,ax:-0.45111111111111113,ay:  -0.3,az:0.36666666666666664,q:237.5625,rV:    70,lV:    50,Camera:0
